timestamp,drone_id,latitude,longitude,battery_level,payload_weight,status
2025-06-19T08:00:00Z,DRN001,47.218824,-1.553425,99.16,1.42,in_flight
2025-06-19T08:00:30Z,DRN001,47.218824,-1.553425,99.16,1.42,error
2025-06-19T08:01:00Z,DRN001,47.219106,-1.553229,97.79,1.42,in_flight
2025-06-19T08:01:30Z,DRN001,47.219106,-1.553229,99.77,1.42,charging
2025-06-19T08:02:00Z,DRN001,47.219492,-1.553086,98.68,1.42,in_flight
2025-06-19T08:02:30Z,DRN001,47.219883,-1.552941,97.87,1.42,in_flight
2025-06-19T08:03:00Z,DRN001,47.219883,-1.552941,97.87,1.42,error
2025-06-19T08:03:30Z,DRN001,47.220012,-1.552572,97.03,1.42,in_flight
2025-06-19T08:04:00Z,DRN001,47.220012,-1.552572,97.03,1.42,idle
2025-06-19T08:04:30Z,DRN001,47.220386,-1.552157,96.08,1.42,in_flight
2025-06-19T08:05:00Z,DRN001,47.220831,-1.55186,95.56,1.42,in_flight
2025-06-19T08:05:30Z,DRN001,47.221322,-1.551419,94.95,1.42,in_flight
2025-06-19T08:06:00Z,DRN001,47.221322,-1.551419,96.49,1.42,charging
2025-06-19T08:06:30Z,DRN001,47.221609,-1.55097,95.43,1.42,in_flight
2025-06-19T08:07:00Z,DRN001,47.221609,-1.55097,95.43,1.42,idle
2025-06-19T08:07:30Z,DRN001,47.221609,-1.55097,95.43,1.42,error
2025-06-19T08:08:00Z,DRN001,47.221729,-1.550843,94.1,1.42,in_flight
2025-06-19T08:08:30Z,DRN001,47.221729,-1.550843,95.67,1.42,charging
2025-06-19T08:09:00Z,DRN001,47.221729,-1.550843,96.74,1.42,charging
2025-06-19T08:09:30Z,DRN001,47.221729,-1.550843,98.54,1.42,charging
2025-06-19T08:10:00Z,DRN001,47.222187,-1.550481,97.65,1.42,in_flight
2025-06-19T08:10:30Z,DRN001,47.222486,-1.549997,96.24,1.42,in_flight
2025-06-19T08:11:00Z,DRN001,47.222486,-1.549997,96.24,1.42,idle
2025-06-19T08:11:30Z,DRN001,47.22296,-1.549553,95.72,1.42,in_flight
2025-06-19T08:12:00Z,DRN001,47.223128,-1.549296,94.34,1.42,in_flight
2025-06-19T08:12:30Z,DRN001,47.223603,-1.548926,92.94,1.42,in_flight
2025-06-19T08:13:00Z,DRN001,47.22389,-1.548548,92.26,1.42,in_flight
